file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0662.cif,-58.462704,-58.542595,8,struct_0662_relaxed.cif
struct_0663.cif,-104.046745,-104.063484,14,struct_0663_relaxed.cif
struct_0664.cif,-66.52146,-66.53608,10,struct_0664_relaxed.cif
struct_0665.cif,-60.28429,-60.800056,9,struct_0665_relaxed.cif
struct_0666.cif,-15.095371,-15.119776,4,struct_0666_relaxed.cif
struct_0667.cif,-88.79347,-88.88077,12,struct_0667_relaxed.cif
struct_0668.cif,-53.077374,-53.123573,8,struct_0668_relaxed.cif
struct_0669.cif,-91.56542,-91.568565,12,struct_0669_relaxed.cif
struct_0670.cif,-82.32087,-82.55027,12,struct_0670_relaxed.cif
struct_0671.cif,-29.670612,-29.670773,4,struct_0671_relaxed.cif
struct_0672.cif,-79.86405,-79.87503,10,struct_0672_relaxed.cif
struct_0673.cif,-55.035458,-55.101562,9,struct_0673_relaxed.cif
struct_0674.cif,-63.536415,-63.5384,9,struct_0674_relaxed.cif
struct_0675.cif,-28.485788,-28.489248,4,struct_0675_relaxed.cif
struct_0676.cif,-69.59821,-69.64015,9,struct_0676_relaxed.cif
struct_0677.cif,-82.913445,-82.98517,12,struct_0677_relaxed.cif
struct_0678.cif,-29.673468,-29.673893,4,struct_0678_relaxed.cif
struct_0679.cif,-80.0245,-80.04026,10,struct_0679_relaxed.cif
struct_0680.cif,-149.82904,-150.09709,20,struct_0680_relaxed.cif
struct_0681.cif,-28.452223,-28.454826,4,struct_0681_relaxed.cif
struct_0682.cif,-52.193855,-52.19494,7,struct_0682_relaxed.cif
struct_0683.cif,-70.27009,-70.91788,9,struct_0683_relaxed.cif
struct_0684.cif,-28.227465,-28.24715,4,struct_0684_relaxed.cif
struct_0685.cif,-83.911156,-83.964264,12,struct_0685_relaxed.cif
struct_0686.cif,-58.661606,-58.811558,8,struct_0686_relaxed.cif
struct_0687.cif,-80.024826,-80.03236,10,struct_0687_relaxed.cif
struct_0688.cif,-28.478987,-28.47984,4,struct_0688_relaxed.cif
struct_0689.cif,-96.636154,-96.69475,12,struct_0689_relaxed.cif
struct_0690.cif,-40.030815,-40.031235,5,struct_0690_relaxed.cif
struct_0691.cif,-28.479622,-28.479656,4,struct_0691_relaxed.cif
struct_0692.cif,-91.56205,-91.607155,12,struct_0692_relaxed.cif
struct_0693.cif,-42.762245,-43.637257,6,struct_0693_relaxed.cif
struct_0694.cif,-90.3709,-90.429214,12,struct_0694_relaxed.cif
struct_0695.cif,-45.91858,-46.181637,8,struct_0695_relaxed.cif
struct_0696.cif,-80.029434,-80.03662,10,struct_0696_relaxed.cif
struct_0697.cif,-69.21032,-69.22912,9,struct_0697_relaxed.cif
struct_0698.cif,-119.60786,-119.72993,16,struct_0698_relaxed.cif
struct_0699.cif,-81.87339,-81.93329,11,struct_0699_relaxed.cif
struct_0700.cif,-81.98931,-82.00682,11,struct_0700_relaxed.cif
struct_0701.cif,-28.482216,-28.485245,4,struct_0701_relaxed.cif
struct_0702.cif,-27.854454,-27.87912,4,struct_0702_relaxed.cif
struct_0703.cif,-79.191605,-79.20474,10,struct_0703_relaxed.cif
struct_0704.cif,-40.03629,-40.03782,5,struct_0704_relaxed.cif
struct_0705.cif,-58.820408,-58.89171,8,struct_0705_relaxed.cif
struct_0706.cif,-33.37394,-33.651802,6,struct_0706_relaxed.cif
struct_0707.cif,-92.27369,-92.278114,12,struct_0707_relaxed.cif
struct_0708.cif,-41.8035,-41.846367,6,struct_0708_relaxed.cif
struct_0709.cif,-150.73486,-151.01128,20,struct_0709_relaxed.cif
struct_0710.cif,-28.225542,-28.249105,4,struct_0710_relaxed.cif
struct_0711.cif,-96.10048,-96.25403,12,struct_0711_relaxed.cif
struct_0712.cif,-40.0368,-40.037804,5,struct_0712_relaxed.cif
struct_0713.cif,-81.97133,-82.003075,11,struct_0713_relaxed.cif
struct_0714.cif,-28.471624,-28.472397,4,struct_0714_relaxed.cif
